OBJECTID,CNTY_NM,CNTY_NBR,FIPS,DIST_NM,DIST_NBR,CREATE_USE,CREATE_DT,EDIT_NM,EDIT_DT,CMNT,SHAPE_area,SHAPE_len
243,Oldham,180,"48,359",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"3,893,653,395.189963300000000","257,627.555968738480000"
244,Hemphill,107,"48,211",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,367,773,261.353359700000000","194,622.667253310560000"
245,Roberts,197,"48,393",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,396,825,567.175051700000000","195,771.875314570670000"
246,Hutchinson,118,"48,233",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,323,480,530.127435200000000","192,855.750315199690000"
247,Moore,171,"48,341",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,361,289,913.814255700000000","194,330.880822333680000"
248,Hartley,104,"48,205",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"3,798,215,392.788584700000000","254,485.338885530040000"
249,Lipscomb,148,"48,295",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,425,671,122.518996700000000","197,001.377206868580000"
250,Ochiltree,179,"48,357",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,389,934,560.879464100000000","195,894.057657436410000"
251,Hansford,99,"48,195",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,393,587,253.795921300000000","195,737.436917950950000"
252,Sherman,211,"48,421",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,399,271,985.821958500000000","195,972.061601047870000"
253,Dallam,56,"48,111",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"3,913,084,215.707950100000000","257,178.480418468590000"
254,Cass,34,"48,067",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"2,478,266,760.754087900000000","277,680.268630938780000"
